consonant,voice,place,manner,prosody,noipow,voipow,subject,token
v,1,0,1,0,130.98,119.74,17,5
v,1,0,1,0,124.73,101.49,2,2
z,1,1,1,0,144.17,124.47,3,1
b,1,0,0,0,138.28,122.43,10,2
d,1,1,0,0,141.2,123.75,18,6
f,0,0,1,0,155.41,116.04,8,3
f,0,0,1,0,146.55,107.99,15,10
p,0,0,0,0,142.18,120.56,17,10
z,1,1,1,0,151.75,119.27,2,7
v,1,0,1,0,132.81,120.61,6,3
v,1,0,1,0,156.24,114.85,9,6
p,0,0,0,0,138.99,116.74,6,10
t,0,1,0,0,154.83,120.52,4,2
f,0,0,1,0,140.53,107.21,12,5
t,0,1,0,0,151.85,118.89,4,9
s,0,1,1,0,149.55,102.23,3,9
v,1,0,1,0,140.22,123.44,12,9
b,1,0,0,0,144.23,119.58,11,1
s,0,1,1,0,146.88,109.21,5,10
v,1,0,1,0,137.99,109.48,3,1
v,1,0,1,0,155.77,119.06,15,1
v,1,0,1,0,140.68,129.8,16,10
s,0,1,1,0,156.6,108.85,12,10
p,0,0,0,0,145.54,111.26,12,2
t,0,1,0,0,147.28,112.17,7,5
v,1,0,1,0,136.75,114.18,15,5
f,0,0,1,0,138.61,108.8,6,4
v,1,0,1,0,136.18,124.2,15,6
z,1,1,1,0,137.85,123.79,5,3
d,1,1,0,0,143.36,111.84,5,8
v,1,0,1,0,135.5,115.06,7,9
p,0,0,0,0,145.44,117.91,3,3
z,1,1,1,0,151.15,108.9,11,2
t,0,1,0,0,155.07,120.53,14,8
z,1,1,1,0,148.94,125.66,17,5
t,0,1,0,0,152.23,112.63,9,6
v,1,0,1,0,142.86,111.47,13,10
s,0,1,1,0,164.49,111.44,16,10
p,0,0,0,0,153.6,127.44,10,5
z,1,1,1,0,153.53,118.94,12,1
z,1,1,1,0,152.35,116.66,7,4
f,0,0,1,0,137.63,104.5,18,3
f,0,0,1,0,146.88,113.84,3,2
f,0,0,1,0,154.92,114.58,8,7
f,0,0,1,0,146.04,113.39,11,9
f,0,0,1,0,138.72,115.5,3,10
f,0,0,1,0,152.9,109.5,1,5
d,1,1,0,0,163.36,110.32,11,3
f,0,0,1,0,139.0,106.47,7,9
p,0,0,0,0,146.82,125.72,9,6
t,0,1,0,0,161.79,110.83,7,6
d,1,1,0,0,140.21,125.57,18,5
t,0,1,0,0,158.17,123.71,8,10
z,1,1,1,0,156.54,120.21,7,2
z,1,1,1,0,155.53,121.22,8,6
z,1,1,1,0,164.52,118.93,12,5
v,1,0,1,0,151.83,121.59,11,5
t,0,1,0,0,157.71,119.85,1,8
v,1,0,1,0,138.84,121.84,6,8
d,1,1,0,0,147.38,114.49,16,4
t,0,1,0,0,162.89,120.33,10,3
p,0,0,0,0,139.19,111.82,7,4
s,0,1,1,0,155.63,106.59,19,6
z,1,1,1,0,153.96,123.8,12,6
d,1,1,0,0,146.91,118.28,12,4
d,1,1,0,0,151.76,119.5,9,10
t,0,1,0,0,159.91,114.65,3,10
z,1,1,1,0,155.0,110.29,11,9
z,1,1,1,0,161.73,109.0,11,5
f,0,0,1,0,129.37,100.94,2,2
b,1,0,0,0,135.77,129.64,14,10
t,0,1,0,0,148.85,114.49,13,3
s,0,1,1,0,160.17,121.19,11,9
b,1,0,0,0,139.31,120.24,7,10
s,0,1,1,0,158.97,107.17,13,5
d,1,1,0,0,139.12,117.78,4,6
z,1,1,1,0,152.04,121.47,18,1
v,1,0,1,0,153.58,120.18,8,10
f,0,0,1,0,142.97,110.07,7,6
b,1,0,0,0,137.76,114.14,1,5
v,1,0,1,0,148.53,122.67,14,2
v,1,0,1,0,148.95,120.74,15,2
z,1,1,1,0,163.29,123.42,15,1
p,0,0,0,0,142.14,121.97,7,8
v,1,0,1,0,137.2,118.02,13,9
s,0,1,1,0,151.68,104.0,19,5
f,0,0,1,0,138.94,108.73,18,2
v,1,0,1,0,144.11,126.85,1,4
f,0,0,1,0,142.01,111.07,11,1
t,0,1,0,0,151.83,120.42,17,9
d,1,1,0,0,144.03,123.94,12,8
f,0,0,1,0,150.85,107.74,9,6
f,0,0,1,0,143.91,110.92,16,2
v,1,0,1,0,135.13,125.57,3,3
p,0,0,0,0,143.95,122.96,14,6
p,0,0,0,0,129.21,110.59,5,5
b,1,0,0,0,138.56,120.29,4,10
f,0,0,1,0,156.15,115.82,10,9
f,0,0,1,0,132.24,100.47,2,1
f,0,0,1,0,139.86,105.15,18,4
b,1,0,0,0,135.49,116.66,4,1
t,0,1,0,0,148.66,112.45,15,2
t,0,1,0,0,144.09,115.43,19,7
b,1,0,0,0,130.63,115.6,15,5
p,0,0,0,0,139.15,119.95,9,5
s,0,1,1,0,166.39,110.6,11,7
d,1,1,0,0,152.97,117.06,8,1
d,1,1,0,0,140.49,110.95,6,3
v,1,0,1,0,135.79,108.95,7,8
v,1,0,1,0,128.36,97.624,2,4
s,0,1,1,0,154.78,106.17,18,5
t,0,1,0,0,149.32,116.67,20,6
p,0,0,0,0,140.55,120.55,1,1
t,0,1,0,0,141.08,121.74,19,10
s,0,1,1,0,165.19,109.61,7,3
z,1,1,1,0,160.97,127.67,10,8
d,1,1,0,0,156.84,120.78,12,5
s,0,1,1,0,160.68,106.81,15,7
v,1,0,1,0,142.29,123.91,6,7
t,0,1,0,0,146.58,108.11,2,1
p,0,0,0,0,133.22,106.05,2,8
b,1,0,0,0,148.88,130.95,8,7
f,0,0,1,0,130.3,111.94,5,10
t,0,1,0,0,141.18,117.49,6,1
b,1,0,0,0,129.0,127.95,20,3
b,1,0,0,0,137.56,111.03,3,3
s,0,1,1,0,155.95,102.32,20,4
f,0,0,1,0,138.62,117.9,4,3
v,1,0,1,0,132.45,110.13,6,1
b,1,0,0,0,129.84,110.61,19,1
v,1,0,1,0,138.22,112.03,3,6
d,1,1,0,0,147.61,122.93,15,4
f,0,0,1,0,146.43,116.61,14,6
f,0,0,1,0,146.1,113.18,15,8
t,0,1,0,0,153.86,120.55,14,3
p,0,0,0,0,144.69,119.55,3,4
p,0,0,0,0,124.47,107.86,5,1
f,0,0,1,0,148.6,117.85,3,1
s,0,1,1,0,158.25,115.98,4,8
z,1,1,1,0,152.66,120.57,16,2
t,0,1,0,0,160.16,119.16,1,10
f,0,0,1,0,128.37,108.49,5,3
p,0,0,0,0,134.33,114.98,19,10
s,0,1,1,0,167.4,111.81,8,3
d,1,1,0,0,141.41,114.05,18,2
f,0,0,1,0,145.56,112.82,1,2
s,0,1,1,0,153.85,107.36,12,7
v,1,0,1,0,130.07,116.36,4,6
s,0,1,1,0,154.08,116.91,17,2
f,0,0,1,0,156.26,117.69,10,1
b,1,0,0,0,147.25,130.36,1,7
z,1,1,1,0,151.35,121.99,3,6
d,1,1,0,0,150.61,124.19,14,7
t,0,1,0,0,160.78,120.47,1,4
v,1,0,1,0,124.89,104.16,2,8
d,1,1,0,0,157.75,119.74,13,6
z,1,1,1,0,154.94,124.9,1,3
t,0,1,0,0,152.18,114.19,3,7
s,0,1,1,0,147.61,102.18,18,4
f,0,0,1,0,153.11,104.12,2,9
t,0,1,0,0,148.12,119.85,14,10
f,0,0,1,0,147.42,109.67,8,2
t,0,1,0,0,145.81,112.57,2,9
d,1,1,0,0,144.9,116.88,7,5
p,0,0,0,0,131.58,108.4,18,3
d,1,1,0,0,148.72,110.92,3,4
v,1,0,1,0,134.73,119.08,13,3
t,0,1,0,0,158.83,117.83,10,7
s,0,1,1,0,156.64,113.02,14,1
v,1,0,1,0,126.76,113.6,2,6
p,0,0,0,0,135.92,110.21,20,8
b,1,0,0,0,126.67,109.5,17,4
f,0,0,1,0,151.57,114.29,1,8
z,1,1,1,0,162.01,124.94,13,9
b,1,0,0,0,142.87,122.58,6,8
s,0,1,1,0,165.29,111.14,13,3
b,1,0,0,0,137.58,125.93,15,3
v,1,0,1,0,138.5,125.41,14,5
t,0,1,0,0,155.46,116.19,4,6
v,1,0,1,0,142.33,120.35,1,9
s,0,1,1,0,152.82,101.9,19,4
s,0,1,1,0,160.52,108.19,15,4
p,0,0,0,0,136.64,118.83,18,7
s,0,1,1,0,146.87,108.45,5,9
s,0,1,1,0,141.48,102.67,5,1
b,1,0,0,0,136.56,118.8,1,3
v,1,0,1,0,134.14,121.67,19,5
z,1,1,1,0,163.09,121.01,7,10
b,1,0,0,0,134.36,122.84,5,10
z,1,1,1,0,147.1,124.53,20,8
t,0,1,0,0,162.13,119.15,16,4
p,0,0,0,0,140.65,116.34,7,2
v,1,0,1,0,130.05,111.93,7,3
v,1,0,1,0,148.84,123.48,6,5
z,1,1,1,0,151.29,114.26,7,8
v,1,0,1,0,136.9,121.38,14,9
s,0,1,1,0,163.99,112.35,11,10
v,1,0,1,0,148.78,125.87,8,6
z,1,1,1,0,166.71,124.11,16,3
p,0,0,0,0,145.59,117.97,10,4
p,0,0,0,0,142.83,113.77,12,6
v,1,0,1,0,135.16,118.39,19,2
p,0,0,0,0,145.12,113.39,14,3
b,1,0,0,0,140.58,119.0,6,4
d,1,1,0,0,140.24,118.03,20,4
b,1,0,0,0,137.96,126.86,4,3
t,0,1,0,0,143.3,124.02,19,9
z,1,1,1,0,163.57,115.45,11,1
f,0,0,1,0,146.93,104.66,9,4
v,1,0,1,0,149.12,122.02,8,5
v,1,0,1,0,131.57,102.0,18,7
z,1,1,1,0,155.09,120.89,5,2
b,1,0,0,0,130.4,116.31,11,5
v,1,0,1,0,147.13,125.55,10,2
s,0,1,1,0,156.23,116.43,2,8
b,1,0,0,0,143.72,117.05,4,6
z,1,1,1,0,153.41,123.95,4,2
z,1,1,1,0,162.32,122.55,13,4
p,0,0,0,0,145.44,111.79,9,1
d,1,1,0,0,143.7,110.49,6,9
z,1,1,1,0,149.05,114.98,18,7
z,1,1,1,0,139.23,126.18,17,1
s,0,1,1,0,158.25,113.71,12,1
v,1,0,1,0,132.86,114.11,18,2
d,1,1,0,0,149.53,115.31,12,6
b,1,0,0,0,145.32,130.07,12,1
s,0,1,1,0,163.01,112.32,1,4
p,0,0,0,0,140.96,112.27,11,8
b,1,0,0,0,121.27,107.88,5,3
p,0,0,0,0,133.32,110.66,2,2
d,1,1,0,0,143.48,118.45,7,8
z,1,1,1,0,152.86,116.77,6,10
b,1,0,0,0,124.26,106.0,2,2
