consonant,voice,place,manner,prosody,condur,vowdur,subject,token
p,0,0,0,1,169,168,13,5
b,1,0,0,1,188,187,17,8
t,0,1,0,1,268,194,10,2
p,0,0,0,1,102,137,1,10
v,1,0,1,1,179,258,15,5
p,0,0,0,1,265,114,15,5
d,1,1,0,1,115,336,14,7
d,1,1,0,1,143,297,5,3
d,1,1,0,1,138,255,8,3
v,1,0,1,1,115,371,12,6
f,0,0,1,1,237,238,20,4
f,0,0,1,1,53,251,11,6
v,1,0,1,1,217,303,10,8
z,1,1,1,1,205,298,16,1
b,1,0,0,1,205,262,6,1
s,0,1,1,1,230,206,12,3
t,0,1,0,1,141,146,17,9
v,1,0,1,1,179,302,16,6
t,0,1,0,1,184,191,13,2
t,0,1,0,1,137,179,9,1
b,1,0,0,1,176,252,6,2
f,0,0,1,1,154,226,19,8
p,0,0,0,1,147,193,7,10
v,1,0,1,1,122,366,20,2
p,0,0,0,1,104,186,9,3
d,1,1,0,1,162,290,8,7
z,1,1,1,1,264,300,3,3
f,0,0,1,1,223,205,5,10
f,0,0,1,1,207,210,12,5
v,1,0,1,1,89,303,5,1
t,0,1,0,1,187,218,14,10
d,1,1,0,1,91,227,4,1
z,1,1,1,1,230,281,3,6
v,1,0,1,1,53,404,7,6
s,0,1,1,1,375,230,20,9
s,0,1,1,1,349,245,15,2
t,0,1,0,1,166,153,6,3
s,0,1,1,1,209,203,19,9
b,1,0,0,1,144,252,4,9
f,0,0,1,1,242,190,5,2
f,0,0,1,1,210,204,18,4
d,1,1,0,1,161,270,12,7
f,0,0,1,1,178,203,13,3
p,0,0,0,1,187,177,13,1
f,0,0,1,1,173,235,19,9
b,1,0,0,1,71,272,19,5
t,0,1,0,1,144,217,11,5
d,1,1,0,1,134,251,19,10
v,1,0,1,1,161,366,5,2
v,1,0,1,1,163,344,13,2
f,0,0,1,1,191,289,7,2
b,1,0,0,1,173,251,18,5
v,1,0,1,1,127,287,16,8
p,0,0,0,1,142,102,15,9
t,0,1,0,1,230,170,16,2
s,0,1,1,1,263,297,20,5
p,0,0,0,1,181,158,8,9
s,0,1,1,1,259,250,2,8
f,0,0,1,1,196,236,12,6
t,0,1,0,1,219,165,17,7
z,1,1,1,1,187,290,12,5
s,0,1,1,1,490,273,20,2
z,1,1,1,1,207,319,8,1
f,0,0,1,1,294,250,10,4
z,1,1,1,1,147,218,17,8
b,1,0,0,1,171,248,18,9
v,1,0,1,1,145,270,6,8
d,1,1,0,1,206,255,12,1
z,1,1,1,1,201,280,4,3
v,1,0,1,1,143,280,8,8
d,1,1,0,1,85,293,9,6
p,0,0,0,1,211,120,17,8
f,0,0,1,1,217,188,14,7
t,0,1,0,1,143,181,4,9
b,1,0,0,1,141,202,18,8
z,1,1,1,1,246,345,10,3
f,0,0,1,1,210,266,4,7
t,0,1,0,1,220,159,15,4
p,0,0,0,1,158,198,2,6
b,1,0,0,1,135,283,7,5
v,1,0,1,1,160,285,8,6
f,0,0,1,1,202,232,13,1
s,0,1,1,1,264,252,2,3
b,1,0,0,1,98,270,4,5
p,0,0,0,1,107,188,2,10
z,1,1,1,1,299,284,3,10
z,1,1,1,1,219,252,18,3
d,1,1,0,1,124,244,11,9
f,0,0,1,1,202,232,16,8
b,1,0,0,1,98,213,9,1
s,0,1,1,1,233,275,3,2
t,0,1,0,1,233,214,16,9
t,0,1,0,1,184,165,17,6
d,1,1,0,1,160,268,8,9
d,1,1,0,1,110,206,1,8
b,1,0,0,1,128,239,2,6
d,1,1,0,1,108,303,7,1
v,1,0,1,1,247,287,15,7
d,1,1,0,1,180,276,18,3
p,0,0,0,1,244,172,2,2
b,1,0,0,1,174,296,7,9
