consonant,voice,place,manner,prosody,noipow,voipow,subject,token
f,0,0,1,1,143.09,109.39,16,9
s,0,1,1,1,136.97,108.61,5,4
s,0,1,1,1,158.7,116.94,2,1
s,0,1,1,1,153.06,107.85,13,7
b,1,0,0,1,138.49,125.72,14,2
p,0,0,0,1,142.31,111.97,11,5
s,0,1,1,1,140.57,107.37,19,7
s,0,1,1,1,156.45,110.09,2,3
t,0,1,0,1,152.97,117.44,4,5
z,1,1,1,1,148.47,121.67,3,7
d,1,1,0,1,131.49,111.05,18,5
d,1,1,0,1,150.8,120.15,10,8
p,0,0,0,1,140.93,109.69,12,6
f,0,0,1,1,139.78,110.68,2,4
b,1,0,0,1,129.94,118.82,6,7
b,1,0,0,1,135.52,115.89,6,8
p,0,0,0,1,142.27,120.08,19,2
s,0,1,1,1,143.39,107.81,17,5
z,1,1,1,1,147.02,128.51,14,8
z,1,1,1,1,142.46,112.04,20,4
v,1,0,1,1,125.56,106.68,5,1
t,0,1,0,1,132.86,109.38,5,9
t,0,1,0,1,146.6,108.43,19,1
t,0,1,0,1,155.8,118.09,14,4
s,0,1,1,1,145.75,112.88,18,7
t,0,1,0,1,155.67,110.7,2,7
s,0,1,1,1,155.02,115.81,7,1
v,1,0,1,1,144.54,118.63,10,1
v,1,0,1,1,140.33,113.18,11,1
d,1,1,0,1,140.91,118.79,15,2
s,0,1,1,1,155.56,110.68,7,9
b,1,0,0,1,125.5,115.07,6,9
v,1,0,1,1,148.36,123.4,8,1
s,0,1,1,1,150.05,113.73,14,5
p,0,0,0,1,133.55,119.09,4,2
b,1,0,0,1,142.43,129.45,14,7
s,0,1,1,1,155.2,109.47,16,7
d,1,1,0,1,141.16,121.06,12,6
b,1,0,0,1,137.66,117.91,1,5
p,0,0,0,1,127.56,107.53,17,2
s,0,1,1,1,158.85,115.89,10,9
p,0,0,0,1,140.99,112.28,19,6
v,1,0,1,1,144.24,124.36,14,5
d,1,1,0,1,135.42,123.63,19,9
z,1,1,1,1,167.96,119.87,8,4
p,0,0,0,1,133.7,106.54,2,2
z,1,1,1,1,158.15,123.12,9,3
s,0,1,1,1,153.39,109.69,2,8
z,1,1,1,1,153.76,114.98,15,10
z,1,1,1,1,140.06,112.81,17,4
d,1,1,0,1,134.43,121.31,1,3
z,1,1,1,1,140.71,110.53,7,9
s,0,1,1,1,161.47,115.58,11,5
t,0,1,0,1,150.5,110.16,13,4
d,1,1,0,1,147.05,121.09,12,2
z,1,1,1,1,156.4,118.57,15,6
p,0,0,0,1,136.19,103.38,2,6
d,1,1,0,1,144.94,116.31,11,10
t,0,1,0,1,158.86,116.73,10,10
b,1,0,0,1,123.67,111.83,5,4
b,1,0,0,1,132.7,122.72,13,1
t,0,1,0,1,151.32,115.27,9,5
f,0,0,1,1,139.34,111.19,20,1
d,1,1,0,1,144.81,118.97,11,5
v,1,0,1,1,137.41,114.18,19,10
s,0,1,1,1,150.67,113.32,20,7
p,0,0,0,1,142.54,118.53,15,2
t,0,1,0,1,161.69,120.85,10,2
b,1,0,0,1,139.87,119.38,16,2
f,0,0,1,1,149.92,113.0,10,5
t,0,1,0,1,161.75,117.71,10,5
f,0,0,1,1,146.1,113.88,9,3
b,1,0,0,1,128.5,116.57,4,2
f,0,0,1,1,145.13,115.93,11,2
p,0,0,0,1,142.42,119.06,13,4
z,1,1,1,1,146.84,111.69,19,7
t,0,1,0,1,143.53,111.72,17,2
t,0,1,0,1,151.84,103.06,15,5
t,0,1,0,1,153.16,112.28,9,4
s,0,1,1,1,137.6,108.55,5,10
p,0,0,0,1,128.33,106.16,2,3
f,0,0,1,1,142.48,110.72,11,1
z,1,1,1,1,158.88,110.9,15,3
p,0,0,0,1,151.65,124.9,10,2
b,1,0,0,1,120.7,116.22,19,1
d,1,1,0,1,143.29,117.28,12,3
d,1,1,0,1,138.64,116.14,17,3
d,1,1,0,1,139.56,113.11,4,9
b,1,0,0,1,130.34,108.89,17,5
v,1,0,1,1,140.71,112.69,6,6
t,0,1,0,1,163.93,118.11,10,3
z,1,1,1,1,148.1,115.99,17,5
s,0,1,1,1,159.32,105.21,15,10
v,1,0,1,1,153.94,122.19,8,2
p,0,0,0,1,137.51,111.71,6,2
v,1,0,1,1,146.23,116.41,8,3
b,1,0,0,1,127.8,115.78,4,10
s,0,1,1,1,158.34,118.57,10,2
z,1,1,1,1,137.25,111.73,11,7
p,0,0,0,1,129.79,106.89,7,6
s,0,1,1,1,147.93,118.17,14,6
b,1,0,0,1,129.07,121.57,3,4
p,0,0,0,1,131.39,107.6,20,9
p,0,0,0,1,131.07,117.93,4,6
b,1,0,0,1,134.23,120.46,16,6
t,0,1,0,1,148.25,110.81,6,3
s,0,1,1,1,153.73,112.17,7,7
d,1,1,0,1,139.3,125.26,8,4
v,1,0,1,1,137.37,115.65,16,9
z,1,1,1,1,160.64,125.88,10,1
v,1,0,1,1,138.73,114.57,16,2
s,0,1,1,1,147.41,108.55,20,3
s,0,1,1,1,148.54,106.57,19,9
p,0,0,0,1,129.95,112.29,12,9
d,1,1,0,1,145.95,116.48,9,10
d,1,1,0,1,130.91,114.92,7,2
d,1,1,0,1,134.17,113.1,7,10
v,1,0,1,1,147.06,118.37,8,4
f,0,0,1,1,140.92,111.3,11,8
v,1,0,1,1,138.3,112.71,19,4
s,0,1,1,1,153.27,110.44,7,6
s,0,1,1,1,137.04,105.74,5,8
f,0,0,1,1,134.82,113.73,20,9
d,1,1,0,1,141.35,118.98,2,8
f,0,0,1,1,150.3,116.04,10,2
z,1,1,1,1,152.57,109.9,11,5
s,0,1,1,1,159.9,114.43,8,3
b,1,0,0,1,132.73,117.61,4,4
d,1,1,0,1,153.08,115.32,10,3
z,1,1,1,1,142.0,110.11,17,2
p,0,0,0,1,131.42,112.86,20,1
z,1,1,1,1,163.07,124.31,9,6
d,1,1,0,1,144.33,113.46,6,10
f,0,0,1,1,132.45,104.24,19,9
d,1,1,0,1,135.53,114.39,18,9
p,0,0,0,1,143.5,114.62,13,6
v,1,0,1,1,136.42,117.82,18,2
b,1,0,0,1,133.81,120.5,2,9
v,1,0,1,1,140.11,121.74,4,4
z,1,1,1,1,143.07,114.36,18,4
v,1,0,1,1,136.15,127.94,13,5
d,1,1,0,1,138.85,115.92,12,10
t,0,1,0,1,154.49,117.57,3,1
z,1,1,1,1,149.48,118.96,7,3
v,1,0,1,1,149.64,123.26,9,8
z,1,1,1,1,157.53,118.46,9,2
f,0,0,1,1,135.73,102.58,7,9
z,1,1,1,1,147.99,119.3,18,3
d,1,1,0,1,131.71,111.1,18,1
v,1,0,1,1,145.06,115.76,17,8
t,0,1,0,1,140.02,108.78,18,1
t,0,1,0,1,154.72,110.56,15,6
s,0,1,1,1,161.69,111.31,15,4
z,1,1,1,1,152.08,114.73,4,5
z,1,1,1,1,154.57,120.88,1,8
b,1,0,0,1,141.3,115.59,1,3
s,0,1,1,1,161.06,112.57,16,6
v,1,0,1,1,131.91,107.03,5,8
v,1,0,1,1,139.9,120.26,14,10
z,1,1,1,1,151.13,110.24,19,9
z,1,1,1,1,155.41,120.6,6,5
t,0,1,0,1,154.37,116.19,16,8
v,1,0,1,1,130.29,111.09,5,9
f,0,0,1,1,132.99,110.39,17,6
p,0,0,0,1,147.07,127.31,10,6
b,1,0,0,1,122.16,109.88,5,3
v,1,0,1,1,133.34,118.82,18,3
b,1,0,0,1,126.04,114.85,19,4
p,0,0,0,1,152.16,124.39,10,8
z,1,1,1,1,157.39,121.79,15,1
d,1,1,0,1,139.92,121.74,6,4
s,0,1,1,1,152.5,115.57,4,8
v,1,0,1,1,141.36,109.29,19,3
s,0,1,1,1,161.39,119.09,16,1
d,1,1,0,1,133.59,112.26,7,4
b,1,0,0,1,135.01,113.18,2,5
p,0,0,0,1,148.0,116.96,8,2
f,0,0,1,1,136.77,105.5,16,10
s,0,1,1,1,154.69,108.33,7,5
d,1,1,0,1,121.07,109.7,5,4
p,0,0,0,1,138.83,110.49,18,3
v,1,0,1,1,144.91,114.99,2,5
z,1,1,1,1,153.03,114.21,2,1
s,0,1,1,1,158.51,120.88,3,1
v,1,0,1,1,140.17,113.62,2,6
p,0,0,0,1,127.27,106.49,12,2
f,0,0,1,1,149.3,113.96,3,6
t,0,1,0,1,154.56,113.74,15,3
d,1,1,0,1,148.61,127.46,14,8
f,0,0,1,1,148.33,112.99,14,3
d,1,1,0,1,147.68,119.82,13,4
d,1,1,0,1,144.1,123.1,13,10
v,1,0,1,1,143.37,117.35,14,3
z,1,1,1,1,149.97,109.44,2,10
b,1,0,0,1,127.36,110.89,5,10
s,0,1,1,1,145.92,107.99,18,9
d,1,1,0,1,135.02,119.74,19,2
f,0,0,1,1,136.77,114.44,3,2
z,1,1,1,1,152.69,116.46,2,9
f,0,0,1,1,133.35,105.35,20,7
f,0,0,1,1,141.71,111.95,1,8
d,1,1,0,1,140.67,112.98,2,3
b,1,0,0,1,123.66,111.89,18,9
d,1,1,0,1,140.34,120.44,6,1
p,0,0,0,1,123.13,109.39,17,10
p,0,0,0,1,139.88,114.25,16,7
p,0,0,0,1,132.08,113.49,17,7
t,0,1,0,1,157.99,109.63,11,9
d,1,1,0,1,134.86,118.22,20,4
p,0,0,0,1,120.67,111.87,20,3
t,0,1,0,1,142.84,110.96,17,6
t,0,1,0,1,154.73,112.83,15,2
p,0,0,0,1,141.12,117.77,14,3
s,0,1,1,1,157.0,115.37,13,8
p,0,0,0,1,149.72,122.97,13,1
b,1,0,0,1,140.45,120.96,9,2
p,0,0,0,1,129.65,105.98,16,3
f,0,0,1,1,139.44,111.36,11,10
p,0,0,0,1,135.11,110.05,18,10
f,0,0,1,1,141.08,114.61,7,3
p,0,0,0,1,138.08,114.99,14,5
f,0,0,1,1,149.94,104.71,15,7
s,0,1,1,1,151.24,113.79,13,3
t,0,1,0,1,151.7,109.66,13,6
p,0,0,0,1,134.4,113.84,17,9
p,0,0,0,1,143.15,109.89,3,9
p,0,0,0,1,134.9,111.93,6,4
d,1,1,0,1,142.06,118.54,6,2
b,1,0,0,1,139.94,123.73,14,9
z,1,1,1,1,146.7,115.92,19,4
p,0,0,0,1,135.47,109.56,7,4
s,0,1,1,1,156.06,111.01,12,10
b,1,0,0,1,149.43,128.39,8,7
p,0,0,0,1,148.28,124.73,11,1
f,0,0,1,1,149.2,120.74,8,5
s,0,1,1,1,159.68,113.29,9,5
v,1,0,1,1,146.56,116.94,2,8
s,0,1,1,1,148.45,119.47,14,3
v,1,0,1,1,146.29,116.73,14,1
f,0,0,1,1,151.91,116.88,10,7
d,1,1,0,1,143.99,128.53,14,6
d,1,1,0,1,141.95,122.95,4,1
f,0,0,1,1,144.52,107.28,16,2
f,0,0,1,1,145.28,115.67,14,8
t,0,1,0,1,149.68,109.5,9,2
p,0,0,0,1,134.76,108.48,16,6
v,1,0,1,1,136.75,124.39,20,4
z,1,1,1,1,140.45,104.71,5,10
v,1,0,1,1,150.76,126.12,9,9
v,1,0,1,1,152.12,118.44,2,7
z,1,1,1,1,152.16,116.8,4,3
